"Date","0","1","2","3","4","5","6","Bonus","Jackpot"
"April 23 2024","7","14","26","29","38","39","18","$21,000,000"
"April 19 2024","6","7","14","15","28","39","42","37","$70,000,000"
"April 16 2024","15","19","22","28","34","36","46","25","$70,000,000"
"April 12 2024","17","25","30","35","36","44","50","10","$65,000,000"
"April 9 2024","4","5","22","30","44","46","50","34","$60,000,000"
"April 5 2024","4","8","18","24","26","35","46","5","$55,000,000"
"April 2 2024","11","23","36","38","42","43","49","27","$50,000,000"
"March 29 2024","1","14","17","19","23","42","48","39","$40,000,000"
"March 26 2024","21","24","25","26","31","42","43","30","$30,000,000"
"March 22 2024","2","7","19","28","36","37","44","10","$25,000,000"
"March 19 2024","3","16","19","21","24","40","46","39","$20,000,000"
"March 15 2024","22","24","31","33","39","45","46","2","$15,000,000"
"March 12 2024","3","15","20","21","23","24","34","38","$10,000,000"
"March 8 2024","1","3","6","19","21","33","47","10","$25,000,000"
"March 5 2024","2","4","7","25","33","43","49","38","$20,000,000"
"March 1 2024","15","17","23","32","38","46","47","44","$15,000,000"
"February 27 2024","14","18","22","25","34","40","46","30","$10,000,000"
"February 23 2024","8","16","24","28","40","41","47","10","$18,000,000"
"February 20 2024","1","4","23","24","31","40","48","38","$70,000,000"
"February 16 2024","4","19","29","34","41","44","46","31","$65,000,000"
"February 13 2024","13","16","18","29","35","36","49","34","$60,000,000"
"February 9 2024","5","8","16","32","36","41","42","12","$55,000,000"
"February 6 2024","10","16","21","29","42","44","50","26","$50,000,000"
"February 2 2024","7","9","14","18","22","32","42","2","$40,000,000"
"January 30 2024","1","6","12","18","26","27","40","42","$34,000,000"
"January 26 2024","7","11","21","22","24","26","35","32","$29,000,000"
"January 23 2024","4","9","25","31","41","48","49","7","$24,000,000"
"January 19 2024","11","20","27","28","32","36","50","2","$19,000,000"
"January 16 2024","2","9","10","14","42","43","44","25","$70,000,000"
"January 12 2024","5","6","7","18","22","34","36","26","$60,000,000"
"January 9 2024","1","2","12","20","24","26","28","13","$50,000,000"
"January 5 2024","3","6","11","24","29","45","50","16","$40,000,000"
"January 2 2024","9","10","16","29","36","37","50","20","$32,000,000"
"December 29 2023","3","6","9","25","30","36","42","34","$27,000,000"
"December 26 2023","1","11","13","17","42","45","49","23","$22,000,000"
"December 22 2023","8","16","19","25","30","33","47","10","$17,000,000"
"December 19 2023","2","3","4","13","21","35","38","50","$12,000,000"
"December 15 2023","1","2","13","15","20","21","45","8","$50,000,000"
"December 12 2023","2","6","22","23","28","30","42","43","$40,000,000"
"December 8 2023","8","9","11","23","25","32","34","20","$30,000,000"
"December 5 2023","3","4","8","10","38","43","47","18","$25,000,000"
"December 1 2023","4","12","15","22","36","44","46","33","$20,000,000"
"November 28 2023","1","18","25","26","30","34","39","20","$15,000,000"
"November 24 2023","2","24","25","28","36","37","46","26","$10,000,000"
"November 21 2023","7","13","30","34","37","38","42","35","$40,000,000"
"November 17 2023","2","23","28","30","31","33","37","50","$33,000,000"
"November 14 2023","9","14","15","19","45","47","50","33","$28,000,000"
"November 10 2023","7","12","15","16","35","45","48","10","$23,000,000"
"November 7 2023","4","6","16","19","29","31","44","22","$18,000,000"
"November 3 2023","5","7","9","10","19","24","40","18","$13,000,000"
"October 31 2023","22","23","25","26","35","40","44","33","$55,000,000"
"October 27 2023","6","17","25","28","30","34","36","15","$50,000,000"
"October 24 2023","4","15","16","17","23","27","47","1","$32,000,000"
